Ticker,Frequency,Orig_CR,Risk_CR,Orig_SR,Risk_SR,Orig_MDD,Risk_MDD,Stops,Avg_Pos
AAPL,daily,0.24352694300222666,0.07254309526212288,1.3837311832038017,0.31325839004795536,-0.08948142643665247,-0.05356285946164141,0,0.20832836125040113
AAPL,monthly,0.23200995189123663,0.28212600614678074,1.2438693428929746,1.9352166101544526,-0.057583332608356796,-0.03042899467279181,0,0.6
AAPL,weekly,0.07050864060757966,0.024166703207070483,0.10802288489359534,-0.21997084734681593,-0.1290494102580113,-0.11673377537478147,0,0.35143995211557916
JPM,daily,0.12760269233832444,0.06675763788974098,0.6012576493120854,0.23575016615573663,-0.07928733966787549,-0.04878666151839173,0,0.26642668134173275
JPM,monthly,0.5696427658869674,0.26840423859656126,2.389782902496584,1.6473347756495813,-0.062010567555119134,-0.03720634053307137,0,0.6666666666666665
JPM,weekly,0.1011515586665872,0.03891123879200031,0.3083711333042691,-0.1280346002461294,-0.09364348632881092,-0.06018940067014389,1,0.36446125585998834
MSFT,daily,0.14541168909333524,0.09741068881542447,0.7021387065423141,0.584997444091556,-0.08603136170396919,-0.054466951671512054,0,0.2915803793413977
MSFT,monthly,-0.027055033024439124,0.0008697800548651546,-0.5952949922626948,-0.4407689405857343,-0.11864315340335363,-0.09349137975353206,0,0.4166666666666667
MSFT,weekly,-0.17401762342483085,-0.11225901862057919,-1.4999397570156254,-1.5927875507915985,-0.1834397068457455,-0.11655791180319441,1,0.3670844159576539
NVDA,daily,0.8152577284111777,0.31983128488037815,2.279368892290346,2.4515983471259,-0.20513595044744382,-0.050756531769006186,1,0.1470307962521312
NVDA,monthly,0.16298430908619865,0.3159694025986317,0.3560150632409812,0.9256167866608237,-0.13144109620016065,-0.017186274290068915,0,0.26666666666666666
NVDA,weekly,0.46130505626126395,0.4346838987523176,1.256572693563926,2.1569992615936955,-0.2179412329533429,-0.036905393747901916,2,0.19885350367487337
TSLA,daily,0.3785851788736283,0.0761163460068206,0.8613813456315251,0.3333379306579148,-0.24160610157212103,-0.05424916548426284,3,0.08437740892346354
TSLA,monthly,1.0446735199098351,0.7728247457530277,2.104660957183991,2.2046018233747313,-0.0773904690267696,-0.04643428141606176,0,0.45
TSLA,weekly,0.4557416072372289,-0.036561826587787616,0.7539727599064647,-0.4586786584231093,-0.23555982101505235,-0.19546643808239772,3,0.14079495064481337
