Stop%,Hold%,VolTarget,Mean_SR,Mean_MDD,Mean_CR
0.1,0.8,0.2,0.8032338900778184,-0.08430859546665034,0.21509803553762158
0.15,0.8,0.2,0.8032338900778184,-0.08430859546665034,0.21509803553762158
0.08,0.8,0.2,0.8032338900778184,-0.08430859546665034,0.21509803553762158
0.08,0.6,0.2,0.7399623045407417,-0.07470071018105043,0.18768937626588264
0.1,0.6,0.2,0.7399623045407417,-0.07470071018105043,0.18768937626588264
0.15,0.6,0.2,0.7399623045407417,-0.07470071018105043,0.18768937626588264
0.08,0.8,0.15,0.7367536837531062,-0.076088896302664,0.2003581866672481
0.1,0.8,0.15,0.7367536837531062,-0.076088896302664,0.2003581866672481
0.15,0.8,0.15,0.7367536837531062,-0.076088896302664,0.2003581866672481
0.15,0.6,0.15,0.6632313958745973,-0.06749482401658398,0.1747862814364917
0.1,0.6,0.15,0.6632313958745973,-0.06749482401658398,0.1747862814364917
0.08,0.6,0.15,0.6632313958745973,-0.06749482401658398,0.1747862814364917
0.05,0.8,0.2,0.6492950416944389,-0.08012623955698536,0.15759481920184176
0.08,0.4,0.2,0.6335396533864265,-0.06584594155544919,0.16034200038348345
0.1,0.4,0.2,0.6335396533864265,-0.06584594155544919,0.16034200038348345
0.15,0.4,0.2,0.6335396533864265,-0.06584594155544919,0.16034200038348345
0.1,0.8,0.1,0.613750257394648,-0.06648913849106439,0.18376170049616522
0.08,0.8,0.1,0.613750257394648,-0.06648913849106439,0.18376170049616522
0.15,0.8,0.1,0.613750257394648,-0.06648913849106439,0.18376170049616522
0.05,0.6,0.2,0.5996750853347446,-0.07129990205486324,0.14468340709597666
0.05,0.8,0.15,0.5810946720104475,-0.07288284532040243,0.14357573165714305
0.15,0.4,0.15,0.5464670009752115,-0.0594706533026828,0.14932189154332265
0.1,0.4,0.15,0.5464670009752115,-0.0594706533026828,0.14932189154332265
0.08,0.4,0.15,0.5464670009752115,-0.0594706533026828,0.14932189154332265
0.05,0.6,0.15,0.5221881246553924,-0.06488701387823502,0.13235740758741052
0.1,0.6,0.1,0.5202419531688254,-0.058919967342771606,0.16018180690336348
0.15,0.6,0.1,0.5202419531688254,-0.058919967342771606,0.16018180690336348
0.08,0.6,0.1,0.5202419531688254,-0.058919967342771606,0.16018180690336348
0.05,0.4,0.2,0.5140070630326815,-0.06336336309895087,0.13177948384444418
0.05,0.8,0.1,0.4583674467164815,-0.06461612259217862,0.12760954547318287
0.05,0.4,0.15,0.4269229050723915,-0.05756463574849056,0.12116689988637447
0.08,0.4,0.1,0.38191261676150945,-0.05192864461889122,0.13674501774773978
0.1,0.4,0.1,0.38191261676150945,-0.05192864461889122,0.13674501774773978
0.15,0.4,0.1,0.38191261676150945,-0.05192864461889122,0.13674501774773978
0.05,0.6,0.1,0.37988871904577987,-0.05720978262871362,0.11824861583108127
0.05,0.4,0.1,0.2632369886190707,-0.05061890857427956,0.10893488409109676
