Ticker,Frequency,Orig_CR,Risk_CR,Orig_SR,Risk_SR,Orig_MDD,Risk_MDD,Stops,Avg_Pos
AAPL,daily,0.12114783065098922,0.02509527407295642,0.4598117839814659,-0.3092352083990191,-0.11819937553759619,-0.07837678852233032,0,0.27317366362283113
AAPL,monthly,0.2320099704733416,0.2821259626024939,1.2438680244597884,1.935213457079806,-0.057583336136236785,-0.030429254335314515,0,0.6333333333333333
AAPL,weekly,0.18706331528105524,0.10829563852502089,0.7639768924867768,0.5761645590376242,-0.0703505279729052,-0.05490509931928533,0,0.38690840772843266
JPM,daily,0.20985643344926586,0.14892312441357758,1.161659934745639,1.2013262282425383,-0.07358605116389005,-0.038206815989968,0,0.3095787471402138
JPM,monthly,0.4914156946488917,0.30683681562613585,2.0020225246494996,1.4329839999840486,-0.06201070331785519,-0.04008487427498131,0,0.6833333333333332
JPM,weekly,0.2576107046829257,0.13282682416233538,1.2346021258642943,0.8685002837453488,-0.06319660545279637,-0.044985909632996646,0,0.4228062214340078
MSFT,daily,0.046666291100416535,0.02162609669263693,-0.022043149732323308,-0.2774845494548282,-0.11084302153790615,-0.08691475262436066,0,0.3498688231741896
MSFT,monthly,-0.013594279248214658,-0.0011921648761394898,-0.3924817781024305,-0.3930011696500769,-0.09091287398254855,-0.07871406449379803,1,0.5
MSFT,weekly,0.008008153132440299,0.029803666731798684,-0.2832027951571275,-0.22775290447093013,-0.14963499591304308,-0.09078083440426299,0,0.372412832666355
NVDA,daily,0.6218535066286242,0.2796794809220444,1.6887009228517806,2.1117472832810518,-0.21313608707084009,-0.04044610517315739,2,0.1670967590899775
NVDA,monthly,0.28580958021403635,0.28580958021403635,0.8250583484201052,0.8250583484201052,0.0,0.0,0,0.08333333333333333
NVDA,weekly,1.061467909754127,0.671358030211648,2.797639129003181,3.1748370187770014,-0.19624054650344336,-0.05083724508189924,2,0.2269606232712
TSLA,daily,0.3638787856793979,0.07828733810802824,0.7957746434272357,0.33972815963267333,-0.23830576938832015,-0.06335587341538973,4,0.08700419169959418
TSLA,monthly,0.743439450744102,0.43549534753488506,1.4989566334469175,1.2099134801640177,-0.0773904690267696,-0.0773904690267696,0,0.43333333333333335
TSLA,weekly,0.3819947090598186,-0.07829400358230831,0.6190577234100367,-0.6928462692417225,-0.23555982101505224,-0.19546643808239772,3,0.13666779023065267
