Ticker,Freq,Orig_CR,Fixed_CR,CR_Diff,Orig_SR,Fixed_SR,SR_Diff,Orig_MDD,Fixed_MDD,MDD_Diff
AAPL,daily,0.24352694300222666,0.12114783065098922,-0.12237911235123744,1.3837311832038017,0.4598117839814659,-0.9239193992223358,-0.08948142643665247,-0.11819937553759619,-0.028717949100943718
AAPL,weekly,0.07050864060757966,0.18706331528105524,0.11655467467347558,0.10802288489359534,0.7639768924867768,0.6559540075931815,-0.1290494102580113,-0.0703505279729052,0.05869888228510611
AAPL,monthly,0.23200995189123663,0.2320099704733416,1.8582104965858548e-08,1.2438693428929746,1.2438680244597884,-1.3184331861815224e-06,-0.057583332608356796,-0.057583336136236785,-3.5278799881410805e-09
JPM,daily,0.12760269233832444,0.20985643344926586,0.08225374111094141,0.6012576493120854,1.161659934745639,0.5604022854335535,-0.07928733966787549,-0.07358605116389005,0.0057012885039854355
JPM,weekly,0.1011515586665872,0.2576107046829257,0.15645914601633848,0.3083711333042691,1.2346021258642943,0.9262309925600252,-0.09364348632881092,-0.06319660545279637,0.030446880876014548
JPM,monthly,0.5696427658869674,0.4914156946488917,-0.07822707123807571,2.389782902496584,2.0020225246494996,-0.3877603778470844,-0.062010567555119134,-0.06201070331785519,-1.357627360532021e-07
MSFT,daily,0.14541168909333524,0.046666291100416535,-0.0987453979929187,0.7021387065423141,-0.022043149732323308,-0.7241818562746375,-0.08603136170396919,-0.11084302153790615,-0.02481165983393696
MSFT,weekly,-0.17401762342483085,0.008008153132440299,0.18202577655727115,-1.4999397570156254,-0.2832027951571275,1.216736961858498,-0.1834397068457455,-0.14963499591304308,0.03380471093270243
MSFT,monthly,-0.027055033024439124,-0.013594279248214658,0.013460753776224466,-0.5952949922626948,-0.3924817781024305,0.20281321416026427,-0.11864315340335363,-0.09091287398254855,0.027730279420805082
NVDA,daily,0.8152577284111777,0.6218535066286242,-0.19340422178255356,2.279368892290346,1.6887009228517806,-0.5906679694385653,-0.20513595044744382,-0.21313608707084009,-0.00800013662339627
NVDA,weekly,0.46130505626126395,1.061467909754127,0.6001628534928631,1.256572693563926,2.797639129003181,1.5410664354392547,-0.2179412329533429,-0.19624054650344336,0.02170068644989953
NVDA,monthly,0.16298430908619865,0.28580958021403635,0.1228252711278377,0.3560150632409812,0.8250583484201052,0.46904328517912397,-0.13144109620016065,0.0,0.13144109620016065
TSLA,daily,0.3785851788736283,0.3638787856793979,-0.014706393194230394,0.8613813456315251,0.7957746434272357,-0.06560670220428944,-0.24160610157212103,-0.23830576938832015,0.0033003321838008803
TSLA,weekly,0.4557416072372289,0.3819947090598186,-0.07374689817741031,0.7539727599064647,0.6190577234100367,-0.134915036496428,-0.23555982101505235,-0.23555982101505224,1.1102230246251565e-16
TSLA,monthly,1.0446735199098351,0.743439450744102,-0.30123406916573314,2.104660957183991,1.4989566334469175,-0.6057043237370736,-0.0773904690267696,-0.0773904690267696,0.0
