Ticker,Frequency,LLM_CR,LLM_SR,LLM_MDD,LLM_Sortino,LLM_WinRate,LLM_AnnReturn,LLM_AnnVol,BH_CR,BH_SR,BH_MDD,SMA_CR,SMA_SR,Turnover,Decisions,BUY_pct,HOLD_pct,SELL_pct,Tokens
AAPL,daily,0.24352694300222666,1.3837311832038017,-0.08948142643665247,1.3213798467575903,0.24603174603174602,0.24352694300222666,0.13985877123484844,0.31999929574037633,1.1976574394180426,-0.15354775323877534,0.14189115946541198,0.568320616561243,0.40239043824701193,252,0.14285714285714285,0.4603174603174603,0.3968253968253968,281227
AAPL,weekly,0.07050864060757966,0.10802288489359534,-0.1290494102580113,0.13733711951560298,0.3018867924528302,0.06913333745920225,0.1771230001684269,0.3136679717512201,1.1539561091412405,-0.1414066956226535,0.13758314490205859,0.4547833191168669,0.6346153846153846,53,0.3018867924528302,0.39622641509433965,0.3018867924528302,59614
AAPL,monthly,0.23200995189123663,1.2438693428929746,-0.057583332608356796,2.7364044700087287,0.5,0.23200995189123663,0.14632561927116908,0.2860963501286642,1.1752383780163373,-0.057583332608356574,0.2860963501286642,1.1752383780163373,0.45454545454545453,12,0.5,0.3333333333333333,0.16666666666666666,13567
JPM,daily,0.12760269233832444,0.6012576493120854,-0.07928733966787549,0.5345142058984266,0.2698412698412698,0.12760269233832444,0.1290672849270387,0.42800461143603985,1.6104661096361685,-0.10130496315880788,0.14303440746937346,0.4336705653351887,0.4262948207171315,252,0.11904761904761904,0.5595238095238095,0.32142857142857145,280719
JPM,weekly,0.1011515586665872,0.3083711333042691,-0.09364348632881092,0.36903097184129885,0.37735849056603776,0.09915143182774888,0.15939050877129693,0.42565693000489624,1.8575919271630175,-0.09110317701946091,0.42565693000489624,1.8575919271630175,0.5769230769230769,53,0.2641509433962264,0.39622641509433965,0.33962264150943394,59575
JPM,monthly,0.5696427658869674,2.389782902496584,-0.062010567555119134,5.953347264866514,0.6666666666666666,0.5696427658869674,0.21744350306636698,0.5696427658869674,2.389782902496584,-0.062010567555119134,0.5696427658869674,2.389782902496584,0.2727272727272727,12,0.16666666666666666,0.8333333333333334,0.0,13356
MSFT,daily,0.14541168909333524,0.7021387065423141,-0.08603136170396919,0.584964154556377,0.28174603174603174,0.14541168909333524,0.13588723738531752,0.13708338763627292,0.43707668313623466,-0.1548678107362752,0.0730526271007601,0.14574119034890654,0.41434262948207173,252,0.17063492063492064,0.4801587301587302,0.3492063492063492,281303
MSFT,weekly,-0.17401762342483085,-1.4999397570156254,-0.1834397068457455,-2.399329859482402,0.22641509433962265,-0.17103275575396903,0.14736108881716004,0.14774371716556134,0.4738746580673639,-0.13931043187495418,0.16473744022859038,0.5963026816533101,0.5576923076923077,53,0.2641509433962264,0.49056603773584906,0.24528301886792453,59673
MSFT,monthly,-0.027055033024439124,-0.5952949922626948,-0.11864315340335363,-0.7524382469188914,0.16666666666666666,-0.027055033024439124,0.12944008269170168,0.05177258559194531,0.010122566317412835,-0.08919923425710541,0.05177258559194531,0.010122566317412835,0.45454545454545453,12,0.16666666666666666,0.4166666666666667,0.4166666666666667,13407
NVDA,daily,0.8152577284111777,2.279368892290346,-0.20513595044744382,2.963608465504656,0.30158730158730157,0.8152577284111777,0.3357322858092683,1.8722226448345203,3.4730923631109976,-0.27046760876736875,1.2136948661490745,2.848281535240551,0.38247011952191234,252,0.17063492063492064,0.5357142857142857,0.29365079365079366,280484
NVDA,weekly,0.46130505626126395,1.256572693563926,-0.2179412329533429,2.1926201512211234,0.32075471698113206,0.45088358887600277,0.3190293652960146,1.7689783639821113,3.2970075473498617,-0.22021192151722058,1.3275471637559946,2.4679095962639552,0.40384615384615385,53,0.2641509433962264,0.33962264150943394,0.39622641509433965,59883
NVDA,monthly,0.16298430908619865,0.3560150632409812,-0.13144109620016065,0.5975998122864139,0.16666666666666666,0.16298430908619865,0.3173582265245931,0.9520543267092647,2.0986878688411483,-0.13144109620016065,0.9520543267092647,2.0986878688411483,0.36363636363636365,12,0.16666666666666666,0.5,0.3333333333333333,13330
TSLA,daily,0.3785851788736283,0.8613813456315251,-0.24160610157212103,1.1079633801702395,0.20238095238095238,0.3785851788736283,0.38146307734668294,0.5267691875649911,0.7471462049515646,-0.4092326685188741,0.5313858965455938,1.0392328865394398,0.4860557768924303,252,0.15476190476190477,0.42857142857142855,0.4166666666666667,280180
TSLA,weekly,0.4557416072372289,0.7539727599064647,-0.23555982101505235,1.3056752246609942,0.24528301886792453,0.44546384345763435,0.5245068051353662,0.6621330628826705,0.9076056883272103,-0.3282013638732184,0.9948452622494421,1.6703083639237657,0.5,53,0.18867924528301888,0.5283018867924528,0.2830188679245283,59126
TSLA,monthly,1.0446735199098351,2.104660957183991,-0.0773904690267696,12.546672313747015,0.4166666666666667,1.0446735199098351,0.47260510844497033,1.1602862972256442,2.207718762124769,-0.12923524353897475,0.24142645940422947,0.7333801491477079,0.45454545454545453,12,0.25,0.4166666666666667,0.3333333333333333,13470
